template_id,run_id,tag,steps,converged_steps,max_coupling_iters_used,sync_retries,rejected_sync_steps,rollback_count,metrics
joule_heating,baseline,quick,17,17,17,0,0,0,final_relative_change=3.315704878159e-9;sigma_effective=5.013239122663e0;joule_power=5.013239122663e0;temp_norm=1.632892008515e0
thermoelastic_coupled,baseline,quick,4,4,1,0,0,0,ux_norm=1.167266945443e-2;uy_norm=6.179327669264e-3;temperature_norm=1.879969822897e-1;uy_checksum=1.103598786781e0;avg_linear_iters_per_step=6.400000000000e1
moving_mesh_ale,baseline,quick,4,4,1,0,0,0,final_norm=4.000714043625e0;final_checksum=1.036458937857e3;max_abs_int_err=7.216449660064e-16
fsi,baseline,quick,4,3,10,0,0,0,max_transfer_abs_int_err=1.332267629550e-15;max_wall_displacement=1.285314158839e-2;final_wall_displacement=1.285314158839e-2;final_pressure_norm=6.881259367349e0
moving_mesh_heat,baseline,quick,4,4,1,0,0,0,final_time=8.000000000000e-2;final_l2=1.011166928569e0;final_checksum=2.618733048572e2;max_transfer_abs_int_err=4.996003610813e-16
acoustics_structure,baseline,quick,4,3,10,0,0,0,max_abs_interface_displacement=1.337930855161e-2;final_interface_displacement=1.337930855161e-2;final_pressure_norm=4.192774234878e0;convergence_ratio=7.500000000000e-1
electromagnetic_thermal_stress,baseline,quick,4,3,10,0,0,0,max_joule_power=8.300046275672e0;final_mean_temp=2.191899776621e-1;final_displacement_proxy=4.383799553242e-3;final_stress_proxy=4.383799553242e-1
reaction_flow_thermal,baseline,quick,4,1,4,0,0,0,max_reaction_rate=7.999999885209e-1;final_flow_metric=1.229573619973e0;final_species_norm=5.656228160805e0;final_temperature_norm=7.449879101897e-1
electrothermal_3d,baseline,quick,12,12,12,0,0,0,final_relative_change=1.240029658980e-6;sigma_effective=1.000000000000e0;temp_norm=1.780864439047e-1;joule_power=1.000000000023e0;temp_max=5.147056087708e-2
immersed_boundary,baseline,quick,1,1,1,0,0,0,area_rel_error=5.325161194181e-4;l2_error=2.304937474731e-14;boundary_l2_error=2.051328671346e-15;interface_length=1.114925532468e0
