Options used:
   --mesh data/star.mesh
   --order 1
   --no-visualization

  Mesh: 31 nodes, 20 elements
  Refined: 5281 nodes, 5120 elements (4 lvl)

Number of Unknowns:
 Trial space,     X0   : 5281 (order 1)
 Interface space, Xhat : 10400 (order 0)
 Test space,      Y    : 20480 (order 1)

   Iteration :   0  (B r, r) = 4.23777
   Iteration :   1  (B r, r) = 0.409321
   Iteration :   2  (B r, r) = 0.107781
   Iteration :   3  (B r, r) = 0.0141371
   Iteration :   4  (B r, r) = 0.000893519
   Iteration :   5  (B r, r) = 0.000135094
   Iteration :   6  (B r, r) = 1.65391e-05
   Iteration :   7  (B r, r) = 3.36004e-06
   Iteration :   8  (B r, r) = 9.98489e-07
   Iteration :   9  (B r, r) = 4.03363e-07
   Iteration :  10  (B r, r) = 2.31414e-07
   Iteration :  11  (B r, r) = 1.66166e-07
   Iteration :  12  (B r, r) = 1.10315e-07
   Iteration :  13  (B r, r) = 7.39186e-08
   Iteration :  14  (B r, r) = 5.25198e-08
   Iteration :  15  (B r, r) = 4.27739e-08
   Iteration :  16  (B r, r) = 3.42023e-08
   Iteration :  17  (B r, r) = 2.93759e-08
   Iteration :  18  (B r, r) = 2.36246e-08
   Iteration :  19  (B r, r) = 1.68661e-08
   Iteration :  20  (B r, r) = 1.12452e-08
   Iteration :  21  (B r, r) = 8.81548e-09
   Iteration :  22  (B r, r) = 6.56361e-09
   Iteration :  23  (B r, r) = 4.71226e-09
   Iteration :  24  (B r, r) = 3.41507e-09
   Iteration :  25  (B r, r) = 2.6293e-09
   Iteration :  26  (B r, r) = 2.26868e-09
   Iteration :  27  (B r, r) = 2.10229e-09
   Iteration :  28  (B r, r) = 2.05025e-09
   Iteration :  29  (B r, r) = 1.93321e-09
   Iteration :  30  (B r, r) = 1.70831e-09
   Iteration :  31  (B r, r) = 1.88994e-09
   Iteration :  32  (B r, r) = 1.71123e-09
   Iteration :  33  (B r, r) = 1.68885e-09
   Iteration :  34  (B r, r) = 1.69268e-09
   Iteration :  35  (B r, r) = 1.52906e-09
   Iteration :  36  (B r, r) = 1.54618e-09
   Iteration :  37  (B r, r) = 1.43014e-09
   Iteration :  38  (B r, r) = 1.39416e-09
   Iteration :  39  (B r, r) = 1.35985e-09
   Iteration :  40  (B r, r) = 1.22469e-09
   Iteration :  41  (B r, r) = 1.12959e-09
   Iteration :  42  (B r, r) = 1.04897e-09
   Iteration :  43  (B r, r) = 9.09266e-10
   Iteration :  44  (B r, r) = 8.01605e-10
   Iteration :  45  (B r, r) = 7.21251e-10
   Iteration :  46  (B r, r) = 6.21272e-10
   Iteration :  47  (B r, r) = 5.14934e-10
   Iteration :  48  (B r, r) = 4.4007e-10
   Iteration :  49  (B r, r) = 3.74356e-10
   Iteration :  50  (B r, r) = 3.05488e-10
   Iteration :  51  (B r, r) = 2.42016e-10
   Iteration :  52  (B r, r) = 1.92742e-10
   Iteration :  53  (B r, r) = 1.4511e-10
   Iteration :  54  (B r, r) = 1.06937e-10
   Iteration :  55  (B r, r) = 8.88885e-11
   Iteration :  56  (B r, r) = 6.87557e-11
   Iteration :  57  (B r, r) = 5.46892e-11
   Iteration :  58  (B r, r) = 4.39949e-11
   Iteration :  59  (B r, r) = 3.55036e-11
   Iteration :  60  (B r, r) = 2.78529e-11
   Iteration :  61  (B r, r) = 2.30576e-11
   Iteration :  62  (B r, r) = 1.86885e-11
   Iteration :  63  (B r, r) = 1.81709e-11
   Iteration :  64  (B r, r) = 1.52716e-11
   Iteration :  65  (B r, r) = 1.29521e-11
   Iteration :  66  (B r, r) = 1.09717e-11
   Iteration :  67  (B r, r) = 9.15954e-12
   Iteration :  68  (B r, r) = 8.1446e-12
   Iteration :  69  (B r, r) = 6.89806e-12
   Iteration :  70  (B r, r) = 6.18138e-12
   Iteration :  71  (B r, r) = 5.40518e-12
   Iteration :  72  (B r, r) = 5.33885e-12
   Iteration :  73  (B r, r) = 4.63959e-12
   Iteration :  74  (B r, r) = 4.02911e-12
Average reduction factor = 0.829413
PCG: iterations=74, final residual=2.007e-6

|| B0*x0 + Bhat*xhat - F ||_{S^{-1}} = 0.0181446
  Wrote refined.mesh, sol.gf
  Total time: 2.810s
  Done.
