Parent mesh: 480 elements, 623 vertices
Cylinder submesh: NE=288 NV=399 ndofs=2717 bdr_attrs=6..9
Cylinder ess vdofs: 593
Block submesh: NE=192 NV=336 ndofs=2080 bdr_attrs=1..9
Block ess vdofs (walls 1-4): 416
Block initial BC dofs (nonzero): 416
step 10, t = 0.0002  block: sum=4.208111e2 min=-3.352481e-2 max=1.000000e0  cyl: sum=-2.390487e0 min=-1.246091e-2 max=4.989708e-5
step 20, t = 0.0004000000000000004  block: sum=4.266862e2 min=-6.104946e-2 max=1.000000e0  cyl: sum=-3.856142e0 min=-2.230582e-2 max=1.731419e-4
step 30, t = 0.0006000000000000009  block: sum=4.333165e2 min=-8.338068e-2 max=1.000000e0  cyl: sum=-4.664206e0 min=-2.995176e-2 max=3.496827e-4
step 40, t = 0.0008000000000000014  block: sum=4.404706e2 min=-1.012162e-1 max=1.000000e0  cyl: sum=-5.012669e0 min=-3.575623e-2 max=5.643553e-4
step 50, t = 0.001000000000000002  block: sum=4.479749e2 min=-1.151596e-1 max=1.000000e0  cyl: sum=-5.047816e0 min=-4.002770e-2 max=8.057011e-4
step 60, t = 0.0012000000000000025  block: sum=4.556996e2 min=-1.257338e-1 max=1.000000e0  cyl: sum=-4.877234e0 min=-4.303264e-2 max=1.845566e-3
step 70, t = 0.001400000000000003  block: sum=4.635481e2 min=-1.333918e-1 max=1.000000e0  cyl: sum=-4.579500e0 min=-4.500073e-2 max=3.943544e-3
step 80, t = 0.0016000000000000035  block: sum=4.714491e2 min=-1.385264e-1 max=1.000000e0  cyl: sum=-4.211433e0 min=-4.612911e-2 max=6.148541e-3
step 90, t = 0.001800000000000004  block: sum=4.793499e2 min=-1.414787e-1 max=1.000000e0  cyl: sum=-3.813538e0 min=-4.658604e-2 max=8.454327e-3
step 100, t = 0.0020000000000000044  block: sum=4.872128e2 min=-1.425451e-1 max=1.000000e0  cyl: sum=-3.414107e0 min=-4.651427e-2 max=1.084027e-2
step 110, t = 0.002200000000000005  block: sum=4.950107e2 min=-1.419830e-1 max=1.000000e0  cyl: sum=-3.032316e0 min=-4.603411e-2 max=1.296917e-2
