3D Taylor Green Vortex
order = 4
grid = 3 x 3 x 3
dofs per component = 1728
=================================================
        time                   kinetic energy
0.0000000000000000e+00     1.2499384822310226e-01
1.0000000000000000e-03     1.2499335187667583e-01
2.0000000000000000e-03     1.2499287992435067e-01
3.0000000000000001e-03     1.2499241049758876e-01
4.0000000000000001e-03     1.2499194120669822e-01
5.0000000000000001e-03     1.2499147203704432e-01
6.0000000000000001e-03     1.2499100300421895e-01
7.0000000000000001e-03     1.2499053403323467e-01
8.0000000000000002e-03     1.2499006508325530e-01
9.0000000000000011e-03     1.2498959613898181e-01
1.0000000000000002e-02     1.2498912719570701e-01
